"","species_name","order","family","genus","species","max_longevity_d","adult_mass_g","adult_brain_mass_g","adult_body_length_mm","maturity_d","female_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","generation_length_d","dispersal_km","hibernation_torpor","fossoriality","dphy_invertebrate","dphy_vertebrate","dphy_plant","trophic_level","activity_cycle","freshwater","marine","terrestrial_non.volant","terrestrial_volant","habitat_breadth_n","maximum.longevity..yrs.","specimen.origin","sample.size","data.quality"
"2","Acinonyx_jubatus","Carnivora","Felidae","Acinonyx","jubatus",7482.5,50577.92,115.012,1490.215,741.97,598.985,1217.27,90.12,3.04,0.7,541.879,465.33,107,2190,44.448,0,1,0,100,0,3,3,0,0,1,0,4,20.5,"captivity","large","high"
"7","Addax_nasomaculatus","Cetartiodactyla","Bovidae","Addax","nasomaculatus",10293,94288.68,201.5,1700,947.495,947.495,1066.86,276,1,1,357.255,5600,198,2555,12.92,0,1,0,0,100,1,1,0,0,1,0,1,28,"captivity","large","high"
"8","Aepyceros_melampus","Cetartiodactyla","Bovidae","Aepyceros","melampus",9344,52500,173.567,1460,498.97,477.485,730,196.74,1,1,364.75,5304.2,167,2674.112,9.363,0,1,0,0,100,1,2,0,0,1,0,2,25.6,"captivity","large","high"
"10","Ailuropoda_melanoleuca","Carnivora","Ursidae","Ailuropoda","melanoleuca",13432,117500,242.727,1422.99,2413.02,2351.485,2504.515,131.179,1.54,0.7,592.969,109.29,182,5246.699,14.582,0,1,0,10,90,1,2,0,0,1,0,1,36.8,"captivity","small","acceptable"
"11","Ailurus_fulgens","Carnivora","Ailuridae","Ailurus","fulgens",6935,4747.54,42.491,608.66,604.05,571.903,760.41,123.437,2,1,364.75,102.02,136.935,3650,2.497,0,1,10,10,80,1,2,0,0,1,0,1,19,"captivity","large","high"
"12","Alcelaphus_buselaphus","Cetartiodactyla","Bovidae","Alcelaphus","buselaphus",5828.847,159938.92,294.833,2151.663,711.99,670.153,927.7,240.637,0.997,1.077,358.255,11777.78,193,2863.875,17.277,0,1,0,0,100,1,2,0,0,1,0,4,22.5,"captivity","medium","acceptable"
"21","Alouatta_palliata","Primates","Atelidae","Alouatta","palliata",9125,5659.14,50.056,745.675,1578.42,1287.443,1382.13,186,1,0.6,533.819,368.75,433,3574.637,2.75,0,2,0,0,100,1,3,0,0,1,0,1,24,"captivity","small","acceptable"
"22","Alouatta_seniculus","Primates","Atelidae","Alouatta","seniculus",9125,6398.31,56.365,737.605,1690.22,1672.763,1671.7,190,1.2,0.815,465.356,293.42,372,3833.157,2.942,0,2,0,0,100,1,3,0,0,1,0,2,25,"captivity","small","acceptable"
"34","Antidorcas_marsupialis","Cetartiodactyla","Bovidae","Antidorcas","marsupialis",7300,33571.24,136.033,1227.5,331.73,213.08,500.475,169.49,1,1.05,364.75,3910,122.961,2563.153,7.321,0,1,0,0,100,1,2,0,0,1,0,3,19.8,"captivity","large","high"
"35","Antilocapra_americana","Cetartiodactyla","Antilocapridae","Antilocapra","americana",5657.5,45375,125.6,1405,534.68,540.84,365,247.445,1.89,1,364.75,3246.36,91,1652.842,8.641,0,1,0,0,100,1,2,0,0,1,0,3,17,"captivity","medium","acceptable"
"36","Antilope_cervicapra","Cetartiodactyla","Bovidae","Antilope","cervicapra",8723.5,37500,136,1225,700.04,539.338,669.16,167.699,1,1.9,221.628,3848,60,2747.35,7.781,0,1,0,0,100,1,3,0,0,1,0,2,23.9,"captivity","large","high"
"41","Aotus_lemurinus","Primates","Aotidae","Aotus","lemurinus",12337,837,16.922,337.5,755.15,755.15,889.981,134.831,1,1,364.75,98,76.09,2920,0.961,0,2,20,10,70,2,1,0,0,1,0,1,33.8,"captivity","medium","acceptable"
"42","Aotus_trivirgatus","Primates","Aotidae","Aotus","trivirgatus",10986.5,872.98,17.189,363.995,736.6,821,883.3,142,1.06,1.34,269.815,91.18,77,3559.188,0.984,0,2,20,10,70,2,1,0,0,1,0,1,30.1,"captivity","medium","acceptable"
"48","Apodemus_sylvaticus","Rodentia","Muridae","Apodemus","sylvaticus",2308.625,23.4,0.585,118.755,57.93,71,85,23.436,5.18,3.8,41.112,1.5,20.696,626.648,0.134,0,2,20,0,80,2,2,0,0,1,0,5,6.3,"captivity","medium","acceptable"
"49","Arctictis_binturong","Carnivora","Viverridae","Arctictis","binturong",9928,12999.99,42.321,875.075,1034.61,925,840,92,2.5,2,332.572,317.35,79,3650,4.345,0,1,0,50,50,2,1,0,0,1,0,2,27,"captivity","medium","acceptable"
"61","Ateles_fusciceps","Primates","Atelidae","Ateles","fusciceps",17520,7267.5,112.188,489.15,1799.68,1812.34,1773.9,227,1,0.5,925.366,425.925,598.516,5475,3.155,0,2,10,10,80,1,3,0,0,1,0,1,46,"captivity","large","acceptable"
"62","Ateles_geoffroyi","Primates","Atelidae","Ateles","geoffroyi",17520,7267.5,106.638,534.035,2104.57,1964.785,2080.5,229.185,1,0.32,1008.384,426,818.675,5475,3.155,0,2,10,10,80,1,3,0,0,1,0,1,47.1,"captivity","large","acceptable"
"64","Ateles_paniscus","Primates","Atelidae","Ateles","paniscus",16790,7887.5,103.712,605.48,2104.57,1665.762,1825,228.18,1,0.5,1071.356,461.67,795.901,5475,3.301,0,2,10,10,80,1,3,0,0,1,0,1,46,"captivity","medium","acceptable"
"67","Atilax_paludinosus","Carnivora","Herpestidae","Atilax","paludinosus",7592,3300,29.508,559.505,234.83,234.83,311.465,76,2,2,182.375,100,36,2228.518,2.044,0,1,40,60,0,2,2,1,0,1,0,5,20.8,"captivity","small","acceptable"
"83","Bassariscus_astutus","Carnivora","Procyonidae","Bassariscus","astutus",6935,1010.37,17.002,410,278.08,300,365,54.23,3,1,364.75,28.58,53.84,2093.883,1.066,0,1,20,10,70,2,1,0,0,1,0,4,19,"captivity","medium","acceptable"
"88","Bison_bison","Cetartiodactyla","Bovidae","Bison","bison",12227.5,624577.07,334,2900,921.77,912,1095,274,1,1,545.002,20000,273.16,4288.142,36.549,0,1,0,0,100,1,2,0,0,1,0,4,33.5,"captivity","large","high"
"100","Callimico_goeldii","Primates","Callitrichidae","Callimico","goeldii",8103,556.5,11.5,257,413.84,389.42,491.83,153.495,1,1.2,180.626,48.61,71.765,2190,0.768,0,2,40,10,50,2,3,0,0,1,0,1,22.2,"captivity","large","high"
"102","Callithrix_jacchus","Primates","Callitrichidae","Callithrix","jacchus",8318.958,255.2,7.704,300,455.99,477,555.1,144,2.24,2,164.287,27.12,62,2156.523,0.5,0,2,20,10,70,2,3,0,0,1,0,2,22.8,"captivity","large","high"
"103","Callithrix_kuhlii","Primates","Callitrichidae","Callithrix","kuhlii",8318.958,307,7.97,300,429.5,477,621,144,2,2,164.287,27.12,62,2190,0.554,0,2,20,10,70,2,3,0,0,1,0,2,20,"captivity","medium","acceptable"
"113","Caluromys_philander","Didelphimorphia","Didelphidae","Caluromys","philander",3248.5,298.235,3.017,232.135,314.52,309.26,334.58,23.995,4.34,2,166.136,0.2,109.825,1043.776,0.545,0,2,20,10,70,2,2,0,0,1,0,1,8.9,"captivity","tiny","acceptable"
"114","Canis_adustus","Carnivora","Canidae","Canis","adustus",6862,10321.245,53.938,818.765,249.88,296.18,314.38,63.5,4.16,1.55,364.75,207.5,61.3,1549.638,3.827,0,1,30,50,20,2,1,0,0,1,0,4,13.7,"captivity","small","acceptable"
"115","Canis_aureus","Carnivora","Canidae","Canis","aureus",6862,11000,75.31,943.765,371.23,334,433.35,62.394,3.95,1.05,364.75,207.5,69.747,2136.101,3.963,0,1,10,80,10,2,2,0,0,1,0,5,18.8,"captivity","medium","acceptable"
"116","Canis_latrans","Carnivora","Canidae","Canis","latrans",7969.167,11050,91.921,906.195,372.9,313.186,365,62.394,5.605,1,364.75,249.75,54.919,2569.032,21.094,0,1,11,68,21,3,2,0,0,1,0,5,21.8,"captivity","medium","acceptable"
"117","Canis_lupus","Carnivora","Canidae","Canis","lupus",10767.5,29190.755,135.595,1270,679.37,669.905,547.5,62.197,4.98,0.82,364.75,434.3,47,2883.257,33.953,0,1,0,100,0,3,2,0,0,1,0,7,20.6,"captivity","large","high"
"118","Canis_mesomelas","Carnivora","Canidae","Canis","mesomelas",6095.5,8247.3,58.138,726.135,241.4,309,302.65,62.5,3.95,1,273.688,159,60,1827.572,3.383,0,1,10,60,30,2,2,0,0,1,0,7,16.7,"captivity","medium","acceptable"
"126","Capreolus_capreolus","Cetartiodactyla","Cervidae","Capreolus","capreolus",6387.5,21666.685,93.685,1510,400.97,413,730,153,1.785,1.05,364.75,1142,89,2335.392,5.754,0,1,0,0,100,1,2,0,0,1,0,4,17.5,"captivity","medium","acceptable"
