scientificname,group,basetree
Acanthixalus sonjae,Amphibians,amphibiantree
Acanthixalus spinosus,Amphibians,amphibiantree
Acris blanchardi,Amphibians,amphibiantree
Acris crepitans,Amphibians,amphibiantree
Acris gryllus,Amphibians,amphibiantree
Adelastes hylonomos,Amphibians,amphibiantree
Adelophryne adiastola,Amphibians,amphibiantree
Adelophryne baturitensis,Amphibians,amphibiantree
Adelophryne gutturosa,Amphibians,amphibiantree
Adelophryne maranguapensis,Amphibians,amphibiantree
Adelophryne meridionalis,Amphibians,amphibiantree
Adelophryne mucronatus,Amphibians,amphibiantree
Adelophryne pachydactyla,Amphibians,amphibiantree
Adelophryne patamona,Amphibians,amphibiantree
Adelotus brevis,Amphibians,amphibiantree
Adelphobates castaneoticus,Amphibians,amphibiantree
Adelphobates galactonotus,Amphibians,amphibiantree
Adelphobates quinquevittatus,Amphibians,amphibiantree
Adenomera ajurauna,Amphibians,amphibiantree
Adenomera andreae,Amphibians,amphibiantree
Adenomera araucaria,Amphibians,amphibiantree
Adenomera bokermanni,Amphibians,amphibiantree
Adenomera coca,Amphibians,amphibiantree
Adenomera cotuba,Amphibians,amphibiantree
Adenomera diptyx,Amphibians,amphibiantree
Adenomera engelsi,Amphibians,amphibiantree
Adenomera heyeri,Amphibians,amphibiantree
Adenomera hylaedactyla,Amphibians,amphibiantree
Adenomera juikitam,Amphibians,amphibiantree
Adenomera lutzi,Amphibians,amphibiantree
Adenomera marmorata,Amphibians,amphibiantree
Adenomera martinezi,Amphibians,amphibiantree
Adenomera nana,Amphibians,amphibiantree
Adenomera saci,Amphibians,amphibiantree
Adenomera simonstuarti,Amphibians,amphibiantree
Adenomera thomei,Amphibians,amphibiantree
Adenomus dasi,Amphibians,amphibiantree
Adenomus kandianus,Amphibians,amphibiantree
Adenomus kelaartii,Amphibians,amphibiantree
Afrixalus aureus,Amphibians,amphibiantree
Afrixalus clarkei,Amphibians,amphibiantree
Afrixalus delicatus,Amphibians,amphibiantree
Afrixalus dorsalis,Amphibians,amphibiantree
Afrixalus dorsimaculatus,Amphibians,amphibiantree
Afrixalus enseticola,Amphibians,amphibiantree
Afrixalus equatorialis,Amphibians,amphibiantree
Afrixalus fornasini,Amphibians,amphibiantree
Afrixalus fulvovittatus,Amphibians,amphibiantree
Afrixalus knysnae,Amphibians,amphibiantree
Afrixalus lacteus,Amphibians,amphibiantree
Afrixalus laevis,Amphibians,amphibiantree
Afrixalus leucostictus,Amphibians,amphibiantree
Afrixalus lindholmi,Amphibians,amphibiantree
Afrixalus morerei,Amphibians,amphibiantree
Afrixalus nigeriensis,Amphibians,amphibiantree
Afrixalus orophilus,Amphibians,amphibiantree
Afrixalus osorioi,Amphibians,amphibiantree
Afrixalus paradorsalis,Amphibians,amphibiantree
Afrixalus quadrivittatus,Amphibians,amphibiantree
Afrixalus schneideri,Amphibians,amphibiantree
Afrixalus septentrionalis,Amphibians,amphibiantree
Afrixalus spinifrons,Amphibians,amphibiantree
Afrixalus stuhlmanni,Amphibians,amphibiantree
Afrixalus sylvaticus,Amphibians,amphibiantree
Afrixalus uluguruensis,Amphibians,amphibiantree
Afrixalus upembae,Amphibians,amphibiantree
Afrixalus vibekensis,Amphibians,amphibiantree
Afrixalus vittiger,Amphibians,amphibiantree
Afrixalus weidholzi,Amphibians,amphibiantree
Afrixalus wittei,Amphibians,amphibiantree
Agalychnis annae,Amphibians,amphibiantree
Agalychnis callidryas,Amphibians,amphibiantree
Agalychnis hulli,Amphibians,amphibiantree
Agalychnis lemur,Amphibians,amphibiantree
Agalychnis moreletii,Amphibians,amphibiantree
Agalychnis saltator,Amphibians,amphibiantree
Agalychnis spurrelli,Amphibians,amphibiantree
Agalychnis terranova,Amphibians,amphibiantree
Aglyptodactylus laticeps,Amphibians,amphibiantree
Aglyptodactylus madagascariensis,Amphibians,amphibiantree
Aglyptodactylus securifer,Amphibians,amphibiantree
Albericus alpestris,Amphibians,amphibiantree
Albericus brevicrus,Amphibians,amphibiantree
Albericus brunhildae,Amphibians,amphibiantree
Albericus darlingtoni,Amphibians,amphibiantree
Albericus exclamitans,Amphibians,amphibiantree
Albericus fafniri,Amphibians,amphibiantree
Albericus gudrunae,Amphibians,amphibiantree
Albericus gunnari,Amphibians,amphibiantree
Albericus laurini,Amphibians,amphibiantree
Albericus murritus,Amphibians,amphibiantree
Albericus pandanicolus,Amphibians,amphibiantree
Albericus rhenaurum,Amphibians,amphibiantree
Albericus sanguinopictus,Amphibians,amphibiantree
Albericus siegfriedi,Amphibians,amphibiantree
Albericus swanhildae,Amphibians,amphibiantree
Albericus tuberculus,Amphibians,amphibiantree
Albericus valkuriarum,Amphibians,amphibiantree
Albericus variegatus,Amphibians,amphibiantree
Alexteroon hypsiphonus,Amphibians,amphibiantree
Alexteroon jynx,Amphibians,amphibiantree
Alexteroon obstetricans,Amphibians,amphibiantree
Allobates alessandroi,Amphibians,amphibiantree
Allobates algorei,Amphibians,amphibiantree
Allobates amissibilis,Amphibians,amphibiantree
Allobates bromelicola,Amphibians,amphibiantree
Allobates brunneus,Amphibians,amphibiantree
Allobates caeruleodactylus,Amphibians,amphibiantree
Allobates caribe,Amphibians,amphibiantree
Allobates cepedai,Amphibians,amphibiantree
Allobates chalcopis,Amphibians,amphibiantree
Allobates conspicuus,Amphibians,amphibiantree
Allobates crombiei,Amphibians,amphibiantree
Allobates femoralis,Amphibians,amphibiantree
Allobates flaviventris,Amphibians,amphibiantree
Allobates fratisenescus,Amphibians,amphibiantree
Allobates fuscellus,Amphibians,amphibiantree
Allobates gasconi,Amphibians,amphibiantree
Allobates goianus,Amphibians,amphibiantree
Allobates granti,Amphibians,amphibiantree
Allobates grillisimilis,Amphibians,amphibiantree
Allobates hodli,Amphibians,amphibiantree
Allobates humilis,Amphibians,amphibiantree
